Ἀαρών	명사	남성 단수 속격	luke 1:5
αββα	명사	남성 단수 호격	mark 14:36
Ἀβιαθάρ	명사	남성 단수 속격	mark 2:26
ἄβυσσος	명사	여성 단수 대격	luke 8:31
ἀγγεῖον	명사	중성 복수 여격	matthew 25:4
ἀγγέλλω	동사	현재 능동 분사 여성 단수 주격	john 20:18
ἄγγος	명사	중성 복수 대격	matthew 13:48
ἀγκάλη	명사	여성 복수 대격	luke 2:28
ἄγκιστρον	명사	중성 단수 대격	matthew 17:27
ἁγνίζω	동사	3인칭 복수 부정과거 능동 가정법	john 11:55
ἀγραυλέω	동사	현재 능동 분사 남성 복수 주격	luke 2:8
ἀγρεύω	동사	3인칭 복수 부정과거 능동 가정법	mark 12:13
ἀγωνία	명사	여성 단수 여격	luke 22:44
Ἀδάμ	명사	남성 단수 속격	luke 3:38
Ἀδδί	명사	남성 단수 속격	luke 3:28
ἄδηλος	형용사	중성 복수 주격	luke 11:44
Ἀδμίν	명사	남성 단수 속격	luke 3:33
ἀθροίζω	동사	완료 수동 분사 남성 복수 대격	luke 24:33
αἱμορροέω	동사	현재 능동 분사 여성 단수 주격	matthew 9:20
Αἰνών	명사	여성 단수 여격	john 3:23
αἱρετίζω	동사	1인칭 단수 부정과거 능동 직설법	matthew 12:18
αἰσθάνομαι	동사	3인칭 복수 부정과거 중간 가정법	luke 9:45
αἰσχύνη	명사	여성 단수 속격	luke 14:9
αἰσχύνομαι	동사	1인칭 단수 현재 중간 직설법	luke 16:3
αἴτημα	명사	중성 단수 대격	luke 23:24
αἰφνίδιος	형용사	여성 단수 주격	luke 21:34
αἰχμαλωτίζω	동사	3인칭 복수 미래 수동 직설법	luke 21:24
αἰχμάλωτος	명사	남성 복수 여격	luke 4:18
ἀκαθαρσία	명사	여성 단수 속격	matthew 23:27
ἀκαταστασία	명사	여성 복수 대격	luke 21:9
ἀκέραιος	형용사	남성 복수 주격	matthew 10:16
ἀκμήν	부사		matthew 15:16
ἀκρασία	명사	여성 단수 속격	matthew 23:25
ἅλα	명사	중성 단수 대격	mark 9:50
ἀλαλάζω	동사	현재 능동 분사 남성 복수 대격	mark 5:38
ἀλεκτοροφωνία	명사	여성 단수 속격	mark 13:35
ἀλλαχόθεν	부사		john 10:1
ἀλλαχοῦ	부사		mark 1:38
ἀλλογενής	형용사	남성 단수 주격	luke 17:18
ἅλλομαι	동사	현재 중간 분사 중성 단수 속격	john 4:14
ἀλόη	명사	여성 단수 속격	john 19:39
ἀμελέω	동사	부정과거 능동 분사 남성 복수 주격	matthew 22:5
ἄμεμπτος	형용사	남성 복수 주격	luke 1:6
ἀμέριμνος	형용사	남성 복수 대격	matthew 28:14
ἄμμος	명사	여성 단수 대격	matthew 7:26
ἀμπελουργός	명사	남성 단수 대격	luke 13:7
ἀμφιάζω	동사	3인칭 단수 현재 능동 직설법	luke 12:28
ἀμφιβάλλω	동사	현재 능동 분사 남성 복수 대격	mark 1:16
ἄμφοδον	명사	중성 단수 속격	mark 11:4
ἀναβιβάζω	동사	부정과거 능동 분사 남성 복수 주격	matthew 13:48
ἀνάβλεψις	명사	여성 단수 대격	luke 4:18
ἀναβοάω	동사	3인칭 단수 부정과거 능동 직설법	matthew 27:46
ἀναδείκνυμι	동사	3인칭 단수 부정과거 능동 직설법	luke 10:1
ἀνάδειξις	명사	여성 단수 속격	luke 1:80
ἀναζάω	동사	3인칭 단수 부정과거 능동 직설법	luke 15:24
ἀνάθεμα	명사	중성 복수 여격	luke 21:5
ἀναθεματίζω	동사	현재 능동 부정사	mark 14:71
ἀναίδεια	명사	여성 단수 대격	luke 11:8
ἀνακαθίζω	동사	3인칭 단수 부정과거 능동 직설법	luke 7:15
ἀνακρίνω	동사	부정과거 능동 분사 남성 단수 주격	luke 23:14
ἀνάλημψις	명사	여성 단수 속격	luke 9:51
ἀναλίσκω	동사	부정과거 능동 부정사	luke 9:54
ἄναλος	형용사	중성 단수 주격	mark 9:50
ἀναλύω	동사	3인칭 단수 부정과거 능동 가정법	luke 12:36
ἀνάμνησις	명사	여성 단수 대격	luke 22:19
ἀναπηδάω	동사	부정과거 능동 분사 남성 단수 주격	mark 10:50
ἀναπληρόω	동사	3인칭 단수 현재 수동 직설법	matthew 13:14
ἀναπτύσσω	동사	부정과거 능동 분사 남성 단수 주격	luke 4:17
ἀνάπτω	동사	3인칭 단수 부정과거 수동 직설법	luke 12:49
ἀνασπάω	동사	3인칭 단수 미래 능동 직설법	luke 14:5
ἀναστενάζω	동사	부정과거 능동 분사 남성 단수 주격	mark 8:12
ἀναστρέφω	동사	3인칭 단수 부정과거 능동 직설법	john 2:15
ἀνατάσσομαι	동사	부정과거 중간 부정사	luke 1:1
ἀναφαίνω	동사	현재 수동 부정사	luke 19:11
ἀναφωνέω	동사	3인칭 단수 부정과거 능동 직설법	luke 1:42
ἀνέκλειπτος	형용사	남성 단수 대격	luke 12:33
ἀνένδεκτος	형용사	중성 단수 주격	luke 17:1
ἄνευ	전치사		matthew 10:29
ἀνευρίσκω	동사	3인칭 복수 부정과거 능동 직설법	luke 2:16
ἄνηθον	명사	중성 단수 대격	matthew 23:23
ἀνθομολογέομαι	동사	3인칭 단수 미완료 중간 직설법	luke 2:38
ἀνθρωποκτόνος	명사	남성 단수 주격	john 8:44
ἀνόητος	형용사	남성 복수 호격	luke 24:25
ἄνοια	명사	여성 단수 속격	luke 6:11
ἄνομος	형용사	남성 복수 속격	luke 22:37
ἀνορθόω	동사	3인칭 단수 부정과거 수동 직설법	luke 13:13
ἀνταπόδομα	명사	중성 단수 주격	luke 14:12
ἀντιβάλλω	동사	2인칭 복수 현재 능동 직설법	luke 24:17
ἀντικαλέω	동사	3인칭 복수 부정과거 능동 가정법	luke 14:12
ἀντιμετρέω	동사	3인칭 단수 미래 수동 직설법	luke 6:38
ἀντιπέρα	전치사		luke 8:26
ἀνώτερον	형용사	중성 단수 대격 비교급	luke 14:10
ἀξιόω	동사	1인칭 단수 부정과거 능동 직설법	luke 7:7
ἀπάγχομαι	동사	3인칭 단수 부정과거 중간 직설법	matthew 27:5
ἀπαλλάσσω	동사	완료 수동 부정사	luke 12:58
ἀπάντησις	명사	여성 단수 대격	matthew 25:6
ἀπαρτισμός	명사	남성 단수 대격	luke 14:28
ἀπειθέω	동사	현재 능동 분사 남성 단수 주격	john 3:36
ἀπειθής	형용사	남성 복수 대격	luke 1:17
ἀπελπίζω	동사	현재 능동 분사 남성 복수 주격	luke 6:35
ἀποβάλλω	동사	부정과거 능동 분사 남성 단수 주격	mark 10:50
ἀπογραφή	명사	여성 단수 주격	luke 2:2
ἀπόδημος	형용사	남성 단수 주격	mark 13:34
ἀποθλίβω	동사	3인칭 복수 현재 능동 직설법	luke 8:45
ἀποκάλυψις	명사	여성 단수 대격	luke 2:32
ἀπόκειμαι	동사	현재 중간 분사 여성 단수 대격	luke 19:20
ἀποκλείω	동사	3인칭 단수 부정과거 능동 가정법	luke 13:25
ἀποκρύπτω	동사	2인칭 단수 부정과거 능동 직설법	luke 10:21
ἀπολύτρωσις	명사	여성 단수 주격	luke 21:28
ἀπομάσσομαι	동사	1인칭 복수 현재 중간 직설법	luke 10:11
ἀπονίπτω	동사	3인칭 단수 부정과거 중간 직설법	matthew 27:24
ἀποπλανάω	동사	현재 능동 부정사	mark 13:22
ἀπορία	명사	여성 단수 여격	luke 21:25
ἀποστεγάζω	동사	3인칭 복수 부정과거 능동 직설법	mark 2:4
ἀποστερέω	동사	2인칭 단수 부정과거 능동 가정법	mark 10:19
ἀποστοματίζω	동사	현재 능동 부정사	luke 11:53
ἀποτελέω	동사	1인칭 단수 현재 능동 직설법	luke 13:32
ἀποτίθημι	동사	3인칭 단수 부정과거 중간 직설법	matthew 14:3
ἀποτινάσσω	동사	2인칭 복수 현재 능동	luke 9:5
ἀποψύχω	동사	현재 능동 분사 남성 복수 속격	luke 21:26
ἄραφος	형용사	남성 단수 주격	john 19:23
ἄργυρος	명사	남성 단수 대격	matthew 10:9
ἀρεστός	형용사	중성 복수 대격	john 8:29
ἀρήν	명사	남성 복수 대격	luke 10:3
Ἀρνί	명사	남성 단수 속격	luke 3:33
ἀροτριάω	동사	현재 능동 분사 남성 단수 대격	luke 17:7
ἄροτρον	명사	중성 단수 대격	luke 9:62
Ἀρφαξάδ	명사	남성 단수 속격	luke 3:36
Ἀρχέλαος	명사	남성 단수 주격	matthew 2:22
ἀρχιτελώνης	명사	남성 단수 주격	luke 19:2
ἀσέλγεια	명사	여성 단수 주격	mark 7:22
Ἀσήρ	명사	남성 단수 속격	luke 2:36
ἄστρον	명사	중성 복수 여격	luke 21:25
ἀσφάλεια	명사	여성 단수 대격	luke 1:4
ἀσφαλῶς	부사		mark 14:44
ἀσώτως	부사		luke 15:13
ἄτοπος	형용사	중성 단수 대격	luke 23:41
Αὐγοῦστος	명사	남성 단수 속격	luke 2:1
αὐλητής	명사	남성 복수 대격	matthew 9:23
αὐτόματος	형용사	여성 단수 주격	mark 4:28
αὐτόπτης	명사	남성 복수 주격	luke 1:2
ἄφαντος	형용사	남성 단수 주격	luke 24:31
ἄφθαρτος	형용사	중성 단수 대격	mark 16:8
ἀφόβως	부사		luke 1:74
ἀφρός	명사	남성 단수 속격	luke 9:39
ἀφροσύνη	명사	여성 단수 주격	mark 7:22
ἀχάριστος	형용사	남성 복수 대격	luke 6:35
ἀχειροποίητος	형용사	남성 단수 대격	mark 14:58
βαθύνω	동사	3인칭 단수 부정과거 능동 직설법	luke 6:48
βάϊον	명사	중성 복수 대격	john 12:13
βαπτισμός	명사	남성 복수 대격	mark 7:4
Βαραχίας	명사	남성 단수 속격	matthew 23:35
βαρέως	부사		matthew 13:15
Βαριωνᾶ	명사	남성 단수 호격	matthew 16:17
βάρος	명사	중성 단수 대격	matthew 20:12
βαρύτιμος	형용사	중성 단수 속격	matthew 26:7
βασανιστής	명사	남성 복수 여격	matthew 18:34
βασίλειον	형용사	중성 복수 여격	luke 7:25
βατταλογέω	동사	2인칭 복수 부정과거 능동 가정법	matthew 6:7
βεβαιόω	동사	현재 능동 분사 남성 단수 속격	mark 16:20
βεβηλόω	동사	3인칭 복수 현재 능동 직설법	matthew 12:5
βελόνη	명사	여성 단수 속격	luke 18:25
βιαστής	명사	남성 복수 주격	matthew 11:12
βιβρώσκω	동사	완료 능동 분사 남성 복수 여격	john 6:13
βιωτικός	형용사	여성 복수 여격	luke 21:34
βλητέος	형용사	중성 단수 주격	luke 5:38
βολή	명사	여성 단수 대격	luke 22:41
Βόος	명사	남성 단수 속격	luke 3:32
βορρᾶς	명사	남성 단수 속격	luke 13:29
βραδύς	형용사	남성 복수 호격	luke 24:25
βρώσιμος	형용사	중성 단수 대격	luke 24:41
βυθίζω	동사	현재 수동 부정사	luke 5:7
βύσσος	명사	여성 단수 대격	luke 16:19
Γαδαρηνός	형용사	남성 복수 속격	matthew 8:28
γαμίσκω	동사	3인칭 복수 현재 수동 직설법	luke 20:34
γενετή	명사	여성 단수 속격	john 9:1
γέρων	명사	남성 단수 주격	john 3:4
γῆρας	명사	중성 단수 여격	luke 1:36
γηράσκω	동사	2인칭 단수 부정과거 능동 가정법	john 21:18
γναφεύς	명사	남성 단수 주격	mark 9:3
γογγυσμός	명사	남성 단수 주격	john 7:12
δαίμων	명사	남성 복수 주격	matthew 8:31
δακρύω	동사	3인칭 단수 부정과거 능동 직설법	john 11:35
δακτύλιος	명사	남성 단수 대격	luke 15:22
δαμάζω	동사	부정과거 능동 부정사	mark 5:4
δάνειον	명사	중성 단수 대격	matthew 18:27
δανιστής	명사	남성 단수 여격	luke 7:41
δαπάνη	명사	여성 단수 대격	luke 14:28
δειλιάω	동사	3인칭 단수 현재 능동	john 14:27
δεῖνα	명사	남성 단수 대격	matthew 26:18
δεκαπέντε	형용사	남성 복수 속격	john 11:18
δέκατος	형용사	여성 단수 주격	john 1:39
δέσμη	명사	여성 복수 대격	matthew 13:30
δεσμόν	명사	중성 복수 대격	luke 8:29
δεσμωτήριον	명사	중성 단수 여격	matthew 11:2
δεσπότης	명사	남성 단수 호격	luke 2:29
δῆλος	형용사	남성 단수 대격	matthew 26:73
διαβαίνω	동사	부정과거 능동 부정사	luke 16:26
διαβάλλω	동사	3인칭 단수 부정과거 수동 직설법	luke 16:1
διαγίνομαι	동사	부정과거 중간 분사 중성 단수 속격	mark 16:1
διαγρηγορέω	동사	부정과거 능동 분사 남성 복수 주격	luke 9:32
διαιρέω	동사	3인칭 단수 부정과거 능동 직설법	luke 15:12
διακαθαίρω	동사	부정과거 능동 부정사	luke 3:17
διακαθαρίζω	동사	3인칭 단수 미래 능동 직설법	matthew 3:12
διακονία	명사	여성 단수 대격	luke 10:40
διακωλύω	동사	3인칭 단수 미완료 능동 직설법	matthew 3:14
διαλέγομαι	동사	3인칭 복수 부정과거 수동 직설법	mark 9:34
διαλείπω	동사	3인칭 단수 부정과거 능동 직설법	luke 7:45
διαλλάσσομαι	동사	2인칭 단수 부정과거 수동	matthew 5:24
διαμαρτύρομαι	동사	3인칭 단수 현재 중간 가정법	luke 16:28
διαμερισμός	명사	남성 단수 대격	luke 12:51
διανεύω	동사	현재 능동 분사 남성 단수 주격	luke 1:22
διανόημα	명사	중성 복수 대격	luke 11:17
διαπορέω	동사	3인칭 단수 미완료 능동 직설법	luke 9:7
διαπραγματεύομαι	동사	3인칭 복수 부정과거 중간 직설법	luke 19:15
διασείω	동사	2인칭 복수 부정과거 능동 가정법	luke 3:14
διασπάω	동사	완료 수동 부정사	mark 5:4
διασπορά	명사	여성 단수 대격	john 7:35
διαταράσσω	동사	3인칭 단수 부정과거 수동 직설법	luke 1:29
διατηρέω	동사	3인칭 단수 미완료 능동 직설법	luke 2:51
διατρίβω	동사	3인칭 단수 미완료 능동 직설법	john 3:22
διαφθείρω	동사	3인칭 단수 현재 능동 직설법	luke 12:33
διαφυλάσσω	동사	부정과거 능동 부정사	luke 4:10
διαχωρίζομαι	동사	현재 수동 부정사	luke 9:33
διδακτός	형용사	남성 복수 주격	john 6:45
διέξοδος	명사	여성 복수 대격	matthew 22:9
διερμηνεύω	동사	3인칭 단수 부정과거 능동 직설법	luke 24:27
διετής	형용사	남성 단수 속격	matthew 2:16
διήγησις	명사	여성 단수 대격	luke 1:1
διϊσχυρίζομαι	동사	3인칭 단수 미완료 중간 직설법	luke 22:59
δικαίωμα	명사	중성 복수 여격	luke 1:6
δικαίως	부사		luke 23:41
διπλοῦς	형용사	남성 단수 대격 비교급	matthew 23:15
δισχίλιοι	형용사	남성 복수 주격	mark 5:13
διϋλίζω	동사	현재 능동 분사 남성 복수 주격	matthew 23:24
διχάζω	동사	부정과거 능동 부정사	matthew 10:35
δόγμα	명사	중성 단수 주격	luke 2:1
δρέπανον	명사	중성 단수 대격	mark 4:29
δυνάστης	명사	남성 복수 대격	luke 1:52
δυσβάστακτος	형용사	중성 복수 대격	luke 11:46
δύσις	명사	여성 단수 속격	mark 16:8
δύσκολος	형용사	중성 단수 주격	mark 10:24
δωρεά	명사	여성 단수 대격	john 4:10
δωρέομαι	동사	3인칭 단수 부정과거 중간 직설법	mark 15:45
ἔα	소사		luke 4:34
ἑβδομηκοντάκις	부사		matthew 18:22
ἕβδομος	형용사	여성 단수 대격	john 4:52
Ἔβερ	명사	남성 단수 속격	luke 3:35
ἐγγράφω	동사	3인칭 단수 완료 수동 직설법	luke 10:20
ἔγερσις	명사	여성 단수 대격	matthew 27:53
ἐγκάθετος	형용사	남성 복수 대격	luke 20:20
ἐγκαίνια	명사	중성 복수 주격	john 10:22
ἐγκακέω	동사	현재 능동 부정사	luke 18:1
ἐγκρύπτω	동사	3인칭 단수 부정과거 능동 직설법	matthew 13:33
ἔγκυος	형용사	여성 단수 여격	luke 2:5
ἐδαφίζω	동사	3인칭 복수 미래 능동 직설법	luke 19:44
ἐθίζω	동사	완료 수동 분사 중성 단수 대격	luke 2:27
εἰδέα	명사	여성 단수 주격	matthew 28:3
εἵνεκεν	전치사		luke 4:18
εἰρηνεύω	동사	2인칭 복수 현재 능동	mark 9:50
εἰρηνοποιός	형용사	남성 복수 주격	matthew 5:9
ἐκθαυμάζω	동사	3인칭 복수 미완료 능동 직설법	mark 12:17
ἐκκεντέω	동사	3인칭 복수 부정과거 능동 직설법	john 19:37
ἐκκομίζω	동사	3인칭 단수 미완료 수동 직설법	luke 7:12
ἐκκρέμαμαι	동사	3인칭 단수 부정과거 중간 직설법	luke 19:48
ἐκλάμπω	동사	3인칭 복수 미래 능동 직설법	matthew 13:43
ἐκνεύω	동사	3인칭 단수 부정과거 능동 직설법	john 5:13
ἐκπερισσῶς	부사		mark 14:31
ἐκτενέστερον	형용사	중성 단수 대격 비교급	luke 22:44
ἐκφεύγω	동사	부정과거 능동 부정사	luke 21:36
ἔκφοβος	형용사	남성 복수 주격	mark 9:6
ἐκχωρέω	동사	3인칭 복수 현재 능동	luke 21:21
ἐλάσσων	형용사	남성 단수 대격 비교급	john 2:10
ἐλαττόω	동사	현재 중간 부정사	john 3:30
ἐλαφρός	형용사	중성 단수 주격	matthew 11:30
ἐλεήμων	형용사	남성 복수 주격	matthew 5:7
Ἐλιέζερ	명사	남성 단수 속격	luke 3:29
Ἐλισαῖος	명사	남성 단수 속격	luke 4:27
ἑλκόομαι	동사	완료 수동 분사 남성 단수 주격	luke 16:20
ἕλκος	명사	중성 복수 대격	luke 16:21
Ἑλληνίς	명사	여성 단수 주격	mark 7:26
Ἑλληνιστί	부사		john 19:20
Ἐλμαδάμ	명사	남성 단수 속격	luke 3:28
ἐμβάλλω	동사	부정과거 능동 부정사	luke 12:5
ἐμπίμπρημι	동사	3인칭 단수 부정과거 능동 직설법	matthew 22:7
ἐμπορία	명사	여성 단수 대격	matthew 22:5
ἐμπόριον	명사	중성 단수 속격	john 2:16
ἔμπορος	명사	남성 단수 여격	matthew 13:45
ἐμφυσάω	동사	3인칭 단수 부정과거 능동 직설법	john 20:22
ἔναντι	전치사		luke 1:8
ἐνδέχεται	동사	3인칭 단수 현재 중간 직설법	luke 13:33
ἐνεδρεύω	동사	현재 능동 분사 남성 복수 주격	luke 11:54
ἐνειλέω	동사	3인칭 단수 부정과거 능동 직설법	mark 15:46
ἔνειμι	동사	현재 능동 분사 중성 복수 대격	luke 11:41
ἐνισχύω	동사	현재 능동 분사 남성 단수 주격	luke 22:43
ἐννεύω	동사	3인칭 복수 미완료 능동 직설법	luke 1:62
ἔννυχα	형용사	중성 복수 대격	mark 1:35
